node_id,unique_destinations,ts_min,ts_max,ts_range,class
1891081,95,27,27,0,unknown
7278020,27,42,42,0,unknown
10795931,27,42,42,0,unknown
64998688,26,5,5,0,unknown
101617193,26,5,5,0,unknown
14360522,26,42,42,0,unknown
42728266,24,5,5,0,unknown
9605879,23,42,42,0,unknown
73958,23,42,42,0,unknown
20315132,23,42,42,0,unknown
23066954,22,42,42,0,unknown
10951180,22,42,42,0,unknown
8852057,20,42,42,0,unknown
3866934,20,42,42,0,unknown
11612944,19,42,42,0,unknown
9110689,19,42,42,0,unknown
12714251,18,41,41,0,unknown
58495048,18,5,5,0,unknown
21510897,18,42,42,0,unknown
7243114,17,15,15,0,licit
6899542,17,42,42,0,unknown
10403056,17,42,42,0,licit
11689956,17,42,42,0,unknown
7248054,16,15,15,0,licit
42728263,16,5,5,0,unknown
5070714,16,41,41,0,licit
1260557,16,27,27,0,unknown
28125035,16,42,42,0,unknown
12661079,15,41,41,0,licit
38688623,15,47,47,0,licit
12781680,15,41,41,0,licit
12705634,14,41,41,0,licit
90578545,14,47,47,0,licit
6783996,13,42,42,0,unknown
2055495,13,27,27,0,unknown
1701690,13,41,41,0,unknown
4337531,13,42,42,0,unknown
5663491,13,41,41,0,licit
12691111,12,41,41,0,licit
12780628,12,41,41,0,licit
26509824,12,42,42,0,unknown
18101906,12,42,42,0,unknown
15108363,12,42,42,0,licit
12706454,12,41,41,0,licit
38598503,11,5,5,0,unknown
36364435,11,47,47,0,licit
10003128,11,42,42,0,unknown
12702064,11,41,41,0,licit
28126756,11,42,42,0,unknown
2724236,11,42,42,0,unknown
181624,11,41,41,0,unknown
12703125,10,41,41,0,licit
30908208,10,42,42,0,licit
1272315,10,41,41,0,unknown
12701981,10,41,41,0,licit
22583076,10,42,42,0,licit
41342269,10,42,42,0,licit
607145,9,42,42,0,unknown
13237573,9,15,15,0,licit
1154526,9,42,42,0,licit
1153751,9,42,42,0,licit
2832884,9,41,41,0,unknown
9050356,9,42,42,0,unknown
34893448,9,47,47,0,licit
15839263,9,15,15,0,licit
3182916,9,42,42,0,licit
4893368,9,41,41,0,unknown
275639359,9,31,31,0,licit
3148613,9,41,41,0,unknown
12077122,9,41,41,0,licit
12663820,9,41,41,0,licit
12705568,9,41,41,0,licit
101622978,8,5,5,0,unknown
19095619,8,15,15,0,licit
13623410,8,39,39,0,licit
8511812,8,15,15,0,licit
10695436,8,41,41,0,licit
19611496,8,42,42,0,unknown
4159112,8,42,42,0,unknown
3180898,7,42,42,0,unknown
4893367,7,41,41,0,licit
54143456,7,42,42,0,unknown
12691943,7,41,41,0,licit
3839005,7,41,41,0,unknown
12370187,7,42,42,0,unknown
71852969,7,42,42,0,licit
12780675,7,41,41,0,unknown
95850377,7,39,39,0,licit
5275627,7,39,39,0,licit
23450745,7,15,15,0,licit
12148438,7,42,42,0,unknown
5000729,7,42,42,0,unknown
200412,7,41,41,0,unknown
3174370,7,42,42,0,unknown
12701847,7,41,41,0,licit
3846317,7,41,41,0,unknown
3846323,7,41,41,0,unknown
27390346,7,42,42,0,unknown
6066208,7,42,42,0,unknown
4649833,7,42,42,0,unknown
18710583,6,42,42,0,unknown
14998546,6,42,42,0,unknown
105995296,6,44,44,0,licit
133003378,6,13,13,0,licit
7275718,6,42,42,0,unknown
30835862,6,42,42,0,unknown
65200348,6,42,42,0,licit
29679152,6,39,39,0,unknown
8952868,6,42,42,0,unknown
18738781,6,42,42,0,unknown
2090326,6,42,42,0,unknown
9709303,6,42,42,0,unknown
149161348,6,39,39,0,unknown
8573178,6,42,42,0,unknown
17576236,6,42,42,0,unknown
3386947,6,42,42,0,unknown
35311641,6,47,47,0,unknown
61381087,6,42,42,0,licit
12401126,6,39,39,0,licit
12154231,6,39,39,0,licit
105994274,6,44,44,0,licit
2398950,6,42,42,0,unknown
12284459,6,39,39,0,licit
992596,5,42,42,0,licit
35202200,5,42,42,0,licit
73155694,5,42,42,0,licit
31646401,5,47,47,0,licit
475947,5,42,42,0,unknown
35171908,5,5,5,0,unknown
14886327,5,42,42,0,unknown
7834222,5,47,47,0,licit
13983579,5,39,39,0,licit
135456597,5,47,47,0,unknown
3098169,5,47,47,0,licit
2730573,5,41,41,0,unknown
12282505,5,42,42,0,unknown
3395059,5,42,42,0,unknown
38538087,5,42,42,0,licit
149161612,5,39,39,0,unknown
1192279,5,39,39,0,unknown
27529050,5,42,42,0,unknown
3141442,5,42,42,0,licit
3174345,5,42,42,0,unknown
11604903,5,42,42,0,licit
18477792,5,42,42,0,unknown
31086091,5,44,44,0,licit
4774203,5,42,42,0,licit
8993505,5,42,42,0,licit
47282850,5,5,5,0,unknown
71538918,5,42,42,0,unknown
12663785,5,41,41,0,licit
1866886,5,42,42,0,unknown
72752635,5,42,42,0,unknown
27385206,5,42,42,0,unknown
5152578,5,42,42,0,unknown
